Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
25.0,13,727,0.12,0.0,0.0,1.0,1.0,0.0,7,4
27.0,15,500,0.18,0.0,0.18,0.0,0.0,0.0,5,1
22.0,16,592,0.45,0.0,0.0,1.0,1.0,0.0,7,4
20.0,4,60,0.0,0.0,0.0,0.0,0.0,0.0,5,0
20.0,12,295,0.61,0.0,0.0,1.0,1.0,0.0,7,4
35.0,20,1662,0.22,0.0,0.11,1.0,0.0,0.0,3,1
22.0,6,194,0.91,0.0,0.0,0.0,0.0,0.0,0,2
26.0,13,637,0.14,0.0,0.0,0.0,0.0,0.0,2,2
33.0,11,433,0.21,0.0,0.0,1.0,0.0,0.0,3,3
33.0,1,9,0.0,0.0,0.0,1.0,0.0,0.0,3,1
28.0,20,1626,0.06,0.0,0.0,0.0,0.0,0.0,0,4
28.0,3,77,1.11,0.0,0.0,0.0,0.0,0.0,0,3
28.0,1,71,0.0,0.0,0.0,0.0,0.0,0.0,0,1
30.0,14,1082,0.17,0.0,0.0,0.0,0.0,0.0,0,3
31.0,19,1191,0.0,0.0,0.08,0.0,0.0,0.0,9,2
29.0,18,1161,0.39,0.08,0.23,0.0,0.0,0.0,5,1
36.0,14,1102,0.08,0.08,0.0,0.0,0.0,0.0,0,2
25.0,16,730,0.0,0.0,0.0,1.0,0.0,0.0,3,3
21.0,10,295,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33.0,2,29,0.0,0.0,0.0,1.0,0.0,0.0,3,3
31.0,22,1497,0.06,0.0,0.0,0.0,0.0,0.0,5,3
28.0,10,545,0.16,0.0,0.0,0.0,0.0,0.0,0,4
31.0,14,704,0.13,0.0,0.0,0.0,0.0,0.0,0,3
21.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,7,0
28.0,10,311,0.29,0.0,0.0,0.0,0.0,0.0,9,0
33.0,18,1023,0.26,0.0,0.0,0.0,0.0,0.0,0,3
19.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
27.0,17,995,0.36,0.0,0.0,1.0,1.0,0.0,7,1
26.0,18,1575,0.17,0.0,0.0,0.0,0.0,0.0,0,1
22.0,6,448,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22.0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0,2
21.0,4,360,0.25,0.0,0.0,0.0,0.0,0.0,0,3
21.0,11,839,0.32,0.0,0.0,0.0,0.0,0.0,0,2
21.0,18,1039,0.87,0.09,0.0,0.0,0.0,0.0,9,1
27.0,2,96,0.0,0.0,0.0,0.0,0.0,0.0,0,4
25.0,20,1317,0.27,0.0,0.0,0.0,0.0,0.0,5,3
28.0,7,351,0.26,0.0,0.0,0.0,0.0,0.0,0,2
29.0,2,126,0.0,0.0,0.0,0.0,0.0,0.0,0,2
22.0,7,51,0.0,0.0,0.0,1.0,1.0,0.0,7,2
18.0,5,194,0.45,0.0,0.0,1.0,1.0,0.0,7,3
23.0,19,941,0.1,0.0,0.0,0.0,0.0,0.0,9,4
23.0,1,24,0.0,0.0,0.0,1.0,1.0,0.0,7,4
31.0,3,59,0.0,0.0,0.0,1.0,1.0,0.0,7,2
22.0,17,968,0.37,0.09,0.0,0.0,0.0,0.0,8,0
24.0,20,1730,0.21,0.0,0.0,0.0,0.0,0.0,0,0
19.0,13,769,0.0,0.0,0.0,1.0,1.0,0.0,7,4
19.0,18,1210,0.15,0.0,0.0,0.0,0.0,0.0,0,1
20.0,18,1319,0.07,0.0,0.0,0.0,0.0,0.0,0,2
19.0,9,269,0.67,0.33,0.0,1.0,1.0,0.0,7,2
34.0,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0,1
24.0,23,1765,0.2,0.0,0.0,0.0,0.0,0.0,0,2
31.0,20,1793,0.15,0.0,0.0,0.0,0.0,0.0,0,1
26.0,3,196,0.0,0.0,0.0,0.0,0.0,0.0,0,4
21.0,21,1591,0.17,0.0,0.23,1.0,0.0,0.0,3,2
32.0,9,555,0.32,0.0,0.0,0.0,0.0,0.0,0,2
26.0,18,1454,0.19,0.0,0.0,1.0,0.0,0.0,3,2
29.0,14,593,0.0,0.0,0.15,1.0,0.0,0.0,3,3
22.0,22,1051,0.26,0.0,0.0,0.0,0.0,0.0,5,4
27.0,22,1506,0.24,0.0,0.0,1.0,1.0,0.0,7,4
30.0,16,949,0.48,0.0,0.0,0.0,0.0,0.0,5,1
24.0,12,431,0.21,0.0,0.0,1.0,1.0,0.0,7,3
28.0,1,25,0.0,0.0,0.0,1.0,1.0,0.0,7,4
28.0,17,999,0.18,0.0,0.0,1.0,1.0,0.0,7,4
29.0,7,316,0.0,0.0,0.0,1.0,1.0,0.0,7,4
20.0,12,336,0.0,0.0,0.0,0.0,0.0,0.0,5,2
22.0,20,1498,0.24,0.0,0.0,0.0,0.0,0.0,0,2
25.0,11,330,0.0,0.0,0.0,1.0,1.0,0.0,7,1
26.0,20,1609,0.22,0.0,0.0,1.0,1.0,0.0,7,4
25.0,10,387,0.0,0.0,0.0,0.0,0.0,0.0,5,1
29.0,15,615,0.15,0.0,0.0,0.0,0.0,0.0,5,2
24.0,11,307,0.0,0.0,0.0,1.0,1.0,0.0,7,0
25.0,20,1696,0.05,0.0,0.0,0.0,0.0,0.0,9,3
23.0,18,1083,0.25,0.0,0.0,1.0,1.0,0.0,7,0
21.0,7,191,0.95,0.0,0.0,0.0,0.0,0.0,4,1
32.0,7,343,0.0,0.0,0.0,1.0,1.0,0.0,7,2
19.0,5,269,0.33,0.0,0.0,1.0,1.0,0.0,7,1
24.0,15,763,0.12,0.0,0.0,0.0,0.0,0.0,5,4
26.0,22,1980,0.18,0.0,0.0,0.0,0.0,0.0,0,4
26.0,14,373,0.24,0.0,0.0,1.0,1.0,0.0,7,4
26.0,2,113,0.0,0.0,0.0,1.0,0.0,0.0,3,0
23.0,17,1267,0.14,0.0,0.0,0.0,0.0,0.0,0,4
26.0,13,946,0.38,0.0,0.0,0.0,0.0,0.0,8,4
31.0,13,660,0.68,0.0,0.0,1.0,1.0,0.0,7,1
23.0,15,1040,0.52,0.0,0.0,0.0,0.0,0.0,0,0
26.0,4,314,0.29,0.0,0.0,0.0,0.0,0.0,0,0
35.0,7,278,0.0,0.0,0.0,1.0,1.0,0.0,7,0
23.0,20,1600,0.22,0.0,0.0,0.0,0.0,0.0,9,0
26.0,22,1266,0.21,0.0,0.0,1.0,1.0,0.0,7,2
22.0,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0,4
26.0,1,9,0.0,0.0,0.0,1.0,0.0,0.0,3,0
32.0,4,60,1.43,0.0,0.0,1.0,0.0,0.0,3,1
28.0,5,310,0.0,0.0,0.0,0.0,0.0,0.0,4,0
27.0,15,1322,0.41,0.0,0.0,0.0,0.0,0.0,0,4
24.0,4,21,0.0,0.0,0.0,0.0,0.0,0.0,2,3
17.0,1,10,0.0,0.0,0.0,1.0,1.0,0.0,7,4
28.0,20,1454,0.06,0.0,0.0,1.0,0.0,0.0,3,0
26.0,4,339,0.0,0.0,0.0,0.0,0.0,0.0,0,3
26.0,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0,3
25.0,7,167,0.0,0.0,0.0,1.0,1.0,0.0,7,3
21.0,3,65,0.0,0.0,0.0,0.0,0.0,0.0,5,2
32.0,20,758,0.12,0.0,0.0,1.0,0.0,0.0,3,0
21.0,8,276,0.32,0.0,0.0,1.0,1.0,0.0,7,2
29.0,14,643,0.0,0.0,0.0,0.0,0.0,0.0,2,2
30.0,12,780,0.0,0.0,0.57,0.0,0.0,0.0,9,2
30.0,6,356,0.75,0.0,0.0,0.0,0.0,0.0,5,2
29.0,22,1492,0.06,0.0,0.0,1.0,1.0,0.0,7,2
31.0,16,1140,0.39,0.0,0.0,0.0,0.0,0.0,0,0
21.0,13,1026,0.09,0.0,0.0,0.0,0.0,0.0,0,3
22.0,10,159,0.0,0.0,0.0,0.0,0.0,0.0,2,4
32.0,6,82,0.0,0.0,0.0,1.0,0.0,0.0,3,0
24.0,19,1589,0.17,0.0,0.0,1.0,1.0,0.0,7,2
27.0,3,143,0.0,0.0,0.0,0.0,0.0,0.0,0,1
19.0,19,1690,0.27,0.0,0.0,1.0,1.0,0.0,7,0
17.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0,2
29.0,18,406,0.0,0.0,0.22,1.0,0.0,0.0,3,4
24.0,20,1614,0.17,0.0,0.0,1.0,1.0,0.0,7,1
17.0,7,466,0.19,0.0,0.0,1.0,0.0,0.0,3,2
19.0,1,4,0.0,0.0,0.0,1.0,1.0,0.0,7,2
32.0,19,1135,0.08,0.0,0.4,1.0,0.0,0.0,3,2
28.0,2,93,0.0,0.0,0.0,0.0,0.0,0.0,0,4
28.0,3,185,0.0,0.0,0.0,1.0,1.0,0.0,7,4
25.0,19,1413,0.32,0.0,0.0,1.0,1.0,0.0,7,4
27.0,20,1193,0.0,0.0,0.15,0.0,0.0,0.0,5,3
27.0,18,1608,0.17,0.0,0.06,0.0,0.0,0.0,0,0
28.0,18,1518,0.06,0.0,0.0,1.0,1.0,0.0,7,2
25.0,18,1500,0.48,0.0,0.0,1.0,1.0,0.0,7,3
35.0,12,1046,0.09,0.0,0.34,1.0,0.0,0.0,3,1
28.0,13,914,0.39,0.0,0.29,1.0,0.0,0.0,3,4
33.0,12,946,0.57,0.1,0.0,0.0,0.0,0.0,0,1
27.0,20,1366,0.0,0.0,0.0,1.0,0.0,0.0,3,1
